Country,City
Canada,Edmonton
Canada,Winnipeg
Canada,Halifax
Canada,Montreal
Canada,Victoria
Canada,Toronto
Canada,Vancouver
Canada,Calgary
USA,Los Angeles
USA,New York City
USA,Chicago
USA,Detroit
USA,Honolulu
USA,Anchorage
USA,Miami
USA,Jacksonville
USA,Nashville
USA,San Francisco
USA,Minneapolis
USA,Phoenix
USA,Charlotte
USA,Salt Lake City
USA,Las Vegas
USA,Boston
USA,Washington DC
USA,Denver
USA,Austin
USA,Houston
Mexico,Cancun
Mexico,Oaxaca
Mexico,Tiajuana
Mexico,Ciudad Juarez
Mexico,Mexico City
Mexico,Guadalajara
Mexico,Monterrey
Mexico,Mexicali
Ireland,Cork
Ireland,Dublin
Ireland,Galway
UK,London
UK,Bristol
UK,Manchester
UK,Liverpool
UK,Glasgow
UK,Belfast
Italy,Milan
Italy,Naples
Italy,Rome
Italy,Florence
Italy,Pisa
Italy,Venice
Germany,Munich
Germany,Hamburg
Germany,Cologne
Germany,Berlin
Germany,Frankfurt
Germany,Nuremburg
France,Marseille
France,Bordeaux
France,Paris
Kenya,Nairobi
Kenya,Mombasa
Kenya,Kisumu
Egypt,Cairo
Egypt,Alexandria
Egypt,Aswan
Egypt,Giza
Egypt,Luxor
North Korea,Pyongyang
South Korea,Busan
South Korea,Daegu
South Korea,Seoul
China,Shenzhen
China,Chongqing
China,Shanghai
China,Beijing
China,Macau
China,Hong Kong
Japan,Tokyo
Japan,Okinawa
Japan,Kyoto
Japan,Susaki
Japan,Osaka
Russia,Novosibirsk
Russia,Saint Petersburg
Russia,Moscow
Australia,Sydney
Australia,Melbourne
Australia,Perth
Australia,Adelaide
Australia,Brisbane
South Africa,Cape Town
South Africa,Johannesburg
South Africa,Durban
South Africa,Pretoria
Brazil,Rio de Janeiro
Brazil,Sau Paulo
Brazil,Fortaleza
Brazil,Brasilia
UAE,Dubai
UAE,Abu Dhabi
UAE,Al Sharjah
Lesotho,Maseru
Lesotho,Teyateyaneng
Lesotho,Mafeteng
Rwanda,Gisenyi
Rwanda,Kigali
Rwanda,Butare
Jamaica,Montego Bay
Jamaica,Kingston
Jamaica,Portmore